Agency Name,DSGN_CODE,DBA,Cert_No,Address Line 1,Address Line 2,Address Line 3,City,State/Province,Country ,Postal Code,Agency Phone Number,Agency Email,Accountable Manager,Accountable Manager Phone Number,Accountable Manager Email,Liaison,Liaison Phone Number,Liaison Email,Rating - Accessory,Rating - Airframe,Rating - Instrument,Rating - Limited,Rating - Powerplant,Rating - Propeller,Rating - Radio,Bilateral Agreements,Update_Date,
KEMPEN AIRCRAFT MAINTENANCE B.V.,2KEY,,2KEY968C,KEMPEN AIRPORT (EHBD),LUCHTHAVENWEG 20,,BUDEL,,NETHERLANDS,6021 PX,,,"FRANSEN, RUUD",,,"DE VRIES, NIELS",,nielsdevries@kempenairport.nl,,Limited,,,Limited,,,,3/9/2026,
"KENMORE AIR HARBOR, LLC",GJRR,,GJRR163A,6321 NE 175TH STREET,,,KENMORE,WA,UNITED STATES,98028,4254861257,,"GUDGEL, DAVID D",,davidg@kenmoreair.com,"ELLISON, ERIC",4254822204,erice@kenmoreair.com,"Class 1, Class 2","Class 1, Class 3",Limited,"Equipment, Floats, NonDestructiveTst","Class 1, Limited",,"Class 1, Class 2, Limited",TCCA (Canada),3/9/2026,
KENT STATE UNIVERSITY,NX3R,,NX3R886D,4020 KENT RD.,,,STOW,OH,UNITED STATES,44224,,,"EYRING, JOSHUA",3306721932,jeyring@kent.edu,JOSHUA EYRING,,jeyring@kent.edu,,Limited,Limited,,Limited,,Limited,,3/9/2026,
KENTUCKY AIRMOTIVE INC,KKIR,,KKIR563B,709 AIRPORT ROAD,,,MT. STERLING,KY,UNITED STATES,40353,,,"JOHNSON, CHRIS",,,"MILLER, MICHAEL",8594981000,skymikemiller79@gmail.com,,Limited,Limited,,Limited,,Limited,,3/9/2026,
"KENTUCKY BALLOON COMPANY, LLC",K2NR,,K2NR395N,88 ELK PARK DRIVE,,,TAYLORSVILLE,KY,UNITED STATES,40071,5022910947,michael@xclusiveballoons.com,"STINSON, MICHAEL J.",5022910947,michael@xclusiveballoons.com,MICHAEL J. STINSON,5022910947,michael@xclusiveballoons.com,,Limited,,,,,,,3/9/2026,michael@xclusiveballoons.com
KEVIN FELTS CO. LLC,HK2R,"DBA MIKE'S A/C FUEL
   FUEL METERING SERVICE",HK2R875K,9406 E. 46TH ST. N,,,TULSA,OK,UNITED STATES,74117,9188386217,,"FELTS, KEVIN L.",9188386217,,"FELTS, KEVIN L.",9188387047,mikesac@tulsacoxmail.com,Limited,,,,,,,,3/9/2026,
KEY LIME AIR CORPORATION,KY7R,DBA DENVER AIR CONNECTION,KY7R882H,13252 E. CONTROL TOWER ROAD,,,ENGLEWOOD,CO,UNITED STATES,80112,,,"KILBURN, BRIAN",3033245374,,"KILBURN, BRIAN",3037689626,bkilburn@keylimeair.com,Limited,,Limited,,,,Limited,,3/9/2026,
KEYSTONE INSTRUMENTS SERVICES INC,BX1R,,BX1R050K,353 PROCTOR STREET,PIPER MEMORIAL AIRPORT,,LOCK HAVEN,PA,UNITED STATES,17745,,,"STOVER, BRIAN S.",5707487083,keystoneinstrumentsinc@gmail.com,"STOVER, KENNETH S.",5707487083,keystoneinstrumentsinc@gmail.com,Limited,Limited,"Class 1, Class 2, Class 3, Class 4",,,,Limited,,3/9/2026,
"KEYSTONE TURBINE SERVICES, LLC",8MHR,,8MHR895B,"885 FOX CHASE, SUITE 111",HIGHLANDS OFFICE PARK,,COATESVILLE,PA,UNITED STATES,19320,,,"EVANS, KEITH",6102686200 EXT. 3507,kevans@kts-aero.com,,,,Limited,,,NonDestructiveTst,Limited,,,"EASA, United Kingdom",3/9/2026,
"KHALIL AVIONICS, LLC",6FIR,"DBA FLITE INSTRUMENTS AND
   AND AVIONICS",6FIR926C,7228 E. NATHAN ST.,,,MESA,AZ,UNITED STATES,85207,,,"LAYTON, MATTHEW",,,"BASHIR, KHALIL",4805160308,bashir.khalil@yahoo.com,,Limited,Limited,,,,Limited,,3/9/2026,
KIDDE AEROSPACE AND DEFENSE,YZ4R,"DBA KIDDE
DBA KIDDE TECHNOLOGIES, INC.
DBA KIDDE AEROSPACE
DBA WALTER KIDDE",YZ4R692M,"4200 AIRPORT DRIVE, NW",,,WILSON,NC,UNITED STATES,27896,,,"BLINN, JOHN",,,ROBERT KEITH DANIEL,,keith.daniel@collins.com,,,,Equipment,,,,"EASA, United Kingdom",3/9/2026,
KIM DAVIDSON AVIATION INC,YYKR,,YYKR678L,2701 AIRPORT AVENUE,,,SANTA MONICA,CA,UNITED STATES,90405,,,"DAVIDSON, KIM",3103916293,kimdaviation@aol.com,"DAVIDSON, KIM",3103916293,,,"Class 1, Class 3",Limited,,"Class 1, Limited",,"Class 1, Class 2, Limited",,3/9/2026,
KING AEROSPACE ARKANSAS INC,KARR,,KARR324E,12400 CORPORATE DRIVE,,,BENTONVILLE,AR,UNITED STATES,72713,4793465464,,"TORRES, GERALD",,,GAYLE CARRINGTON,5803895505,gcarrington@kingaerospace.com,,Limited,,,,,,,3/9/2026,
KING AEROSPACE COMMERCIAL CORPORATION,K2CR,,K2CR345J,402 WRIGHT DRIVE,BUILDING 301,,ARDMORE,OK,UNITED STATES,73401,5803895281,,"VARNADORE , ALVIN LAJOEL",5802605464 EXT. 229,avarnadore@kingaerospace.com,,,,Limited,Limited,,NonDestructiveTst,Limited,Limited,,EASA,3/9/2026,
KINGMAN AIRLINE SERVICES INC,K9GR,,K9GR490Y,4530 FLIGHTLINE DRIVE,,,KINGMAN,AZ,UNITED STATES,86401,9287574748,,"WILLIAMS, DAVID M.",9283776060,david.williams@kasi.us,"WILLIAMS, DAVID",9287574748,david.williams@kasi.us,,Limited,,SpecializedService,Limited,,,,3/9/2026,
KINGS AVIONICS INC,KD6R,,KD6R661N,2483 SOUTH 1200 EAST,,,APPLE VALLEY,UT,UNITED STATES,84737,8015398412,steve.hayden@kingsavionics.com,"HAYDEN, BRADLY TAYLOR",,,"HAYDEN, BRADLY TAYLOR",8015398412,brad.hayden@roboticskies.com,"Class 2, Class 3",Limited,"Class 1, Class 2, Class 3, Class 4",,,,"Class 1, Class 2, Class 3",,3/9/2026,steve.hayden@kingsavionics.com
"KLEENPLUS - PRODUTOS PARA LIMPEZA UNIPESSOAL, LDA",5KPY,,5KPY329D,RUA DOS SELOES,TERRUGEM PARK II - A3,,TERRUGEM,,PORTUGAL,2706 - 501,,,"ALEMAN, NUNO",,,JOSE CARLOS GODINHO MORENO,,jmoreno@biomexaero.com,,Limited,,,,,,,3/9/2026,
KLM ROYAL DUTCH AIRLINES,KRDY,"DBA KLM ENGINEERING &
   & MAINTENANCE",KRDY791F,ENGINEERING & MAINTENANCE,BLDG 404 - SPL/QA,,SCHIPHOL,,NETHERLANDS,1117 ZL,,,"ESSENBERG, MATHIEU",,,"GOOIJER, BEN",,ben.gooijer@klm.com,Limited,Limited,Limited,"Equipment, Landing Gear, NonDestructiveTst, SpecializedService",Limited,,Limited,,3/9/2026,
KLM UK ENGINEERING LTD,3KMY,,3KMY405C,LIBERATOR ROAD,NORWICH AIRPORT,,NORWICH,ENG,UNITED KINGDOM,NR6 6ER,+44(0)1603254400,arjan.meijer@klmuk.com,"EASLEA, WAYNE",,,MARK KARL FRANCIS,,mark.francis@klmuk.com,Limited,Limited,,Landing Gear,,Limited,,,3/9/2026,arjan.meijer@klmuk.com
KODIAK AIRCRAFT COMPANY INC,QX0R,,QX0R525C,1031 AIRPARK LANE,UNIT A,,SANDPOINT,ID,UNITED STATES,83864,2082631111,,"FULLER, DAREN",,,"FULLER,  DAREN",2082631111,dfuller@questaircraft.com,,Limited,Limited,,Limited,Limited,Limited,,3/9/2026,
KONTRON AMERICA INC,9ALR,,9ALR060B,9477 WAPLES STREET,SUITE 150,,SAN DIEGO,CA,UNITED STATES,92121,8586770877,david.waters@us.kontron.com,"WATERS, DAVID",8586770877 EXT. 3044,,DAVID WATERS,8586770877 EXT. 3044,david.waters@us.kontron.com,Limited,,,,,,,"EASA, United Kingdom",3/9/2026,david.waters@us.kontron.com
KOOL AIR TECHNOLOGY LLC,K9LR,,K9LR793X,15130 DOWNEY AVENUE,,,PARAMOUNT,CA,UNITED STATES,90723,5626331900,koolair7309@sbcglobal.net,"O'HARA, TIMOTHY LEO",5626331900,koolair7309@sbcglobal.net,"O'HARA, TIMOTHY",5626331900,koolair7309@sbcglobal.net,Limited,,,,,,,EASA,3/9/2026,koolair7309@sbcglobal.net
"KOREA AIRPORT SERVICE CO., LTD.",KR1Y,,KR1Y581E,"72, GONGHANGDONG-RO,","3-GIL, JUNG-GU",,INCHEON,,"KOREA, REPUBLIC OF",22382,+82 32-742-2015,,"KIM, TAE SUNG",82 32-742-2014,kimtsung@kas.co.kr,,,,,Limited,,,,,,,3/9/2026,
KOREA AVIATION ENGINEERING & MAINTENANCE SERVICE L,2KMY,,2KMY639D,"64, HANGGONG-RO, SACHEON-EUP",,,SACHEON-SI,,"KOREA, REPUBLIC OF",52527,,,"BAE, KI HONG",,,BC MOON,,bcmoon@kaems.com,Limited,Limited,,NonDestructiveTst,,,,,3/9/2026,
KOREAN AIRLINES,KALY,,KALY462F,260 HANEUL-GIL,GANGSEO-GU,,SEOUL,,"KOREA, REPUBLIC OF",07505,,,"JUNG, CHAN-WOO",,,"SUNG JE, KIM",,sungjekim@koreanair.com,Limited,Limited,Limited,"Equipment, NonDestructiveTst",Limited,,Limited,,3/9/2026,
KORRY ELECTRONICS COMPANY,KE7R,,KE7R393J,11910 BEVERLY PARK ROAD,,,EVERETT,WA,UNITED STATES,98204,4252979700,,"HANSON, KEVIN",,,"ANDERSON, MICHAEL",4252979700 EXT. 3429,michael.anderson@korry.com,Limited,,Limited,,,,,,3/9/2026,
"KOURY AVIATION MAINTENANCE, LLC",3KUR,,3KUR168N,7680 AIRLINE ROAD,,,GREENSBORO,NC,UNITED STATES,27409,3362475219,,"KOURY, BRADFORD",,brad@kouryaviation.com,,,,,Limited,,,Limited,,,TCCA (Canada),3/9/2026,
KP AVIATION MRO 1 LLC,6FPR,DBA AIRSIDE MRO,6FPR577C,1503 W. SAN PEDRO ST.,,,GILBERT,AZ,UNITED STATES,85233,,,"NICHOLLS, SCOTT",,,SCOTT NICHOLLS,7758521174,scott.nicholls@kpaviation.net,Limited,Limited,,Landing Gear,,,,,3/9/2026,
KRACON AIRCRAFT REFINISHING.,NU3R,,NU3R723L,"HANGER 204, LINCOLN AIRPORT","1406 FLIGHTLINE DR, SUITE A",,LINCOLN,CA,UNITED STATES,95648,9166451614,david@kracon.com,"WINGFIELD, TERRY O.",,,"SZKOTAK, DAVID",9166451614,office@kracon.com,,Limited,,,,,,,3/9/2026,david@kracon.com
KRAUSS (CHINA) AVIATION TECHNOLOGIES COMPANY LTD,6KCY,,6KCY449B,KRAUSS (CHINA) AVIATION TECHNOLOGIE,"NO.8 CHUANGHUI ROAD, XI'AN HI-TECH",,XI'AN,,CHINA,710119,,,"LI, JUNQIANG",,,ZHANG WANHONG,,wanhong.zhang@krauss-aviation.com.cn,,,,"NonDestructiveTst, SpecializedService",,,,,3/9/2026,
KREGG VICTORY AVIONICS,VNPR,,VNPR588Y,530 ARNOLD PLACE,,,HEMPHILL,TX,UNITED STATES,79548,4088365122,kvictory2000@yahoo.com,"VICTORY, KREGG",,kvictory2000@yahoo.com,"VICTORY, KREGG",,,,Limited,Limited,,,,Limited,,3/9/2026,kvictory2000@yahoo.com
KRIS AERO SERVICES PVT LTD,9KRY,,9KRY663C,102A LONAVLA INDUSTRIAL ESTATE,,,LONAVLA,,INDIA,410401,+91-9820454587,rajkapadia@krisaero.com,"KAPADIA, RAJ DEEPAK",+91-9820073597,rajkapadia@krisaero.com,RAJ KAPADIA DEEPAK,9198200735,rajkapadia@krisaero.com,Limited,,,Equipment,,,,,3/9/2026,rajkapadia@krisaero.com
KS AVIATION INC,K56R,DBA BAY AVIONICS,K56R207Y,2305 JETLIFT DRIVE,,,ATWATER,CA,UNITED STATES,95301,,trussell@infi.net,"LOPEZ, ORLANDO GABRIEL",,,ORLANDO LOPEZ,2097227522 EXT. 121,bayavionics@sierraacademy.com,,Limited,Limited,,,,"Class 1, Class 2, Limited",,3/9/2026,trussell@infi.net
KSNL AERO LLC,8KLR,,8KLR626D,2202 AIRPORT DRIVE,HANGAR 11,,SHAWNEE,OK,UNITED STATES,74804,,,"LOFTON, DARRIN KEITH",8082272633,,"MCMURTRY, DONALD RAY",4054021588,don@ksnlaero.com,,Limited,Limited,,Limited,,Limited,,3/9/2026,
KUBICK AVIATION SERVICES INC,2KAR,DBA DELTA STRUT LLC,2KAR596C,250 RIVERHILLS ROAD,,,KINGSFORD,MI,UNITED STATES,49802,9067795500,chad@kubickaviation.com,"KUBICK, CHAD RAY",,,"LAWLER, TIMOTHY",9067795500,timl@kubickaviation.com,,Class 3,Limited,,Limited,,"Class 1, Class 2, Limited",,3/9/2026,chad@kubickaviation.com
KUERZI AVIATION AG,KUAY,,KUAY108E,KUERZI AVIAITION AG,FLUGPLATZ,,LOMMIS,,SWITZERLAND,CH-9506,,,"SOLTI, KRISZTINA",,,,,,Limited,,Limited,,,Limited,Limited,,3/9/2026,
KULITE SEMICONDUCTOR PRODUCTS INC,KU7R,,KU7R407Y,400 WILLOW TREE ROAD,,,LEONIA,NJ,UNITED STATES,07605,2014610900,,"MCMORROW-RICCA, EILEEN",,eileenm@kulite.com,"MCMORROW-RICCA, EILEEN",2014610900 EXT. 110,eileenm@kulite.com,Limited,,,,,,,"EASA, United Kingdom",3/9/2026,
L G ELECTRICAL INC,L8GR,,L8GR511N,16124 LEADWELL STREET,,,VAN NUYS,CA,UNITED STATES,91406,8189893766,danielle@lgelectricalinc.com,"OP'TEYNDT, ANDRE', J.",8189893766,,"OP'TEYNDT,  ANDRE', J",8189893766,,Limited,Limited,,,,,,,3/9/2026,danielle@lgelectricalinc.com
L2 AVIATION,L2ZR,,L2ZR265X,2100 EAST HIGHWAY 290,,,DRIPPING SPRINGS,TX,UNITED STATES,78620,,,"BAILEY, TONY L.",,,"BAILEY, TONY",5128943414,bailey.tony@l2aviation.com,,Limited,Limited,,,,Limited,EASA,3/9/2026,
L3 AVIATION PRODUCTS INC,XLRR,,XLRR976K,1355 BLUEGRASS LAKES PARKWAY,,,ALPHARETTA,GA,UNITED STATES,30004,,,"PARKER, DANIEL SCOTT",,,"PARKER, DANIEL SCOTT",7703468123,scott.parker@l3harris.com,Limited,,Limited,,,,,,3/9/2026,
L3 HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,LWXR,,LWXR377X,7500 MAEHR RD,,,WACO,TX,UNITED STATES,76705,,,"SCOTT, ERIC",2544474577,eric.scott@l3harris.com,BILL HEETER,2544125053,bill.heeter@l3harris.com,,"Class 2, Class 4",Limited,NonDestructiveTst,,,Limited,EASA,3/9/2026,
L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,L30R,,L30R385X,"10001 JACK FINNEY BLVD., FM1570",MAJORS FIELD,,GREENVILLE,TX,UNITED STATES,75402,,wilked@venetian.com,"CLARK, HILLERY",,,"MCDONALD, MARK A.",9034089366,mark.a.mcdonald@l3harris.com,,"Class 1, Class 2, Class 3, Class 4",,"NonDestructiveTst, SpecializedService",,Limited,"Class 1, Class 2, Class 3",,3/9/2026,wilked@venetian.com
,MQGR,DBA AEROMET,MQGR388B,6501 E. APACHE STREET,,,TULSA,OK,UNITED STATES,74115,9188326395,,"VOYLES, DARREK",,darrek.voyles@l3harris.com,DARREK VOYLES,,darrek.voyles@l3harris.com,,Limited,Limited,,Limited,,Limited,,3/9/2026,
"L3HARRIS TECHNOLOGIES, INC",ODMR,,ODMR232L,1500 NEW HORIZONS BLVD.,,,NORTH AMITYVILLE,NY,UNITED STATES,11701,6316304000,charles.casarona@l3harris.com,"KAISER, JAMES",6316304003,,"KAISER, JAMES",6316304138,james.kaiser@l3harris.com,,,,,,,Limited,EASA,3/9/2026,charles.casarona@l3harris.com
L. J. WALCH CO. INC,NC3R,,NC3R705L,6600 PRESTON AVENUE,,,LIVERMORE,CA,UNITED STATES,94551,,,"YOUNG, GARY",,,"YOUNG, GARY",9254499252,gyoung@ljwalch.com,"Class 1, Class 2, Class 3",,,,,,,EASA,3/9/2026,
L'HOTELLIER,L5HY,,L5HY347Y,4 RUE HENRI POINCARE,,,ANTONY,,FRANCE,92160,01133146660808,hamza.charrouf@collins.com,"AUDISIO, EVELYNE",,,SADOK SOUAYAH,,sadok.souayah@collins.com,Limited,,,,,,,,3/9/2026,hamza.charrouf@collins.com
LA QUINTA AIR SERVICES INC,LQ6R,DBA LA QUINTA AIR SERVICES,LQ6R171N,86-400 LIGHTING STREET HANGER T,,,THERMAL,CA,UNITED STATES,92274,7603998001,lqairservices@verizon.net,"COURRIER, JAMES W.",7603998001,,"CURRIER, JAMES W. C",7603998001,,,"Class 1, Class 3, Limited",,,Limited,,,,3/9/2026,lqairservices@verizon.net
LAC AVIONICS INC,FM4R,,FM4R185M,"1250 AVIATION AVE., SUITE 110",,,SAN JOSE,CA,UNITED STATES,95110,,,"NESBITT, LOYD",4082954144,,"NESBITT, LOYD B. JR.",4082954144,loyd@lacavionics.com,Limited,Limited,"Class 1, Class 2, Class 3, Class 4",,Limited,,"Class 1, Class 2, Class 3",,3/9/2026,
"LAFAYETTE AVIONICS, INC",KH2R,,KH2R952K,PURDUE UNIVERSITY AIRPORT,HANGAR 7,,WEST LAFAYETTE,IN,UNITED STATES,47906,,,"WRIGHT, JOSHUA D.",,,"WRIGHT,JOSHUA D",7657433828,josh@avionics-laf.com,,Limited,Limited,,,,"Class 1, Class 2, Class 3",,3/9/2026,
"LAJA AVIATION, LLC",LAJR,,LAJR483E,14950 NW 44TH COURT SUITE 22,,,OPA-LOCKA,FL,UNITED STATES,33054,9043865031,lajaaviation@gmail.com,"ARIETA, JOHN",,,JOHN ARIETA,9043865031,lajaaviation@gmail.com,,Limited,Limited,,,,Limited,,3/9/2026,lajaaviation@gmail.com
LAKELAND AVIATION OF MINOCQUA INC,RN7R,,RN7R687Y,1545 N. FARMING ROAD,,,ARBOR VITAE,WI,UNITED STATES,54568,7153563891,mike@lakelandfbo.com,"TAMBURRINO, MICHAEL AUGUST",,,MICHAEL TAMBURRINO,7153563891,mike@lakelandfbo.com,,Limited,Limited,,,,Limited,,3/9/2026,mike@lakelandfbo.com
"LAMAR TECHNOLOGIES, LLC",L1RR,,L1RR089Y,14900 40TH AVENUE N.E.,,,MARYSVILLE,WA,UNITED STATES,98271,3606516666,,"GRAFENHAUER, SCOTT",3606516666,,"ZACHER, CHRIS",3606518869,chris@lamartech.com,Limited,,,,,,Limited,,3/9/2026,
LAMBERT AIRCRAFT ENGINEERING BVBA,14EY,,14EY254D,VLIEGVELD 59,,,WEVELGEM,,BELGIUM,B-8560,+3256431626,filip@lambert-aircraft.com,"FILIP, LAMBERT",+3256431626,filip@lambert-aircraft.com,,,,,Limited,Limited,,,,Limited,,3/9/2026,filip@lambert-aircraft.com
LAN CARGO REPAIR STATION LLC,Q9WR,,Q9WR303Y,5900 NORTHWEST 18TH STREET,BLDG 754,,MIAMI,FL,UNITED STATES,33126,,,"MONDESIR, JEAN CLAUDE",,,"HANSON, JORGE",7862658145,,Limited,Limited,Limited,NonDestructiveTst,Limited,,Limited,,3/9/2026,
LANCASTER AVIONICS INC,LN7R,,LN7R261N,500-U AIRPORT ROAD,LANCASTER AIRPORT,,LITITZ,PA,UNITED STATES,17543,,,"ADAMS, TODD M.",7175691953,,"ADAMS, TODD",7175691953,sales@lancasteravionics.com,Class 3,Limited,"Class 4, Limited",,Limited,,"Class 1, Class 2, Class 3, Limited",,3/9/2026,
LANCE AVIATION INC,US4R,,US4R568M,3131 FLIGHTLINE DRIVE,STE. 103,,LAKELAND,FL,UNITED STATES,33811,8636461242,mike@lanceaviation.com,"VORCE, CREG L",8636461242,creg@lanceaviation.com,"VORCE, MICHAEL",8636461242,mike@lanceaviation.com,,Limited,,,Limited,,,,3/9/2026,mike@lanceaviation.com
LANDING GEAR TECHNOLOGIES LLC,1LGR,,1LGR375B,3980 WEST 104TH STREET,,,HIALEAH,FL,UNITED STATES,33018,3056880550,,"CRUZ-ALVAREZ, RAUL",3057785967,raul@lgt.aero,ROSS NEUBARTH,3056880550,rneubarth@lgt.aero,Limited,,,"Landing Gear, NonDestructiveTst, SpecializedService",,,,EASA,3/9/2026,
LANDLOCKED INDUSTRIES LLC,4LVR,DBA LANDLOCKED AVIATION SERVICES,4LVR230D,1945 MERGANSER STREET,,,LAKE CHARLES,LA,UNITED STATES,70615,4054391775,,"GRENZEBACH, TYSON",,,"GRAY, JEREMY",5014250667,jeremy@landlockedaviation.com,,Limited,,,Limited,,,,3/9/2026,
LANE AVIATION CORP,DYCR,,DYCR407D,4391 INTERNATIONAL GATEWAY,,,COLUMBUS,OH,UNITED STATES,43219,6142373747,,"CURRIER, BRANDON CHARLES",,,BRANDON CURRIER,6142373747 EXT. 265,bcurrier@laneaviation.com,,Limited,,,Limited,,,,3/9/2026,
LANES AERO CORP,LACR,,LACR008E,7635 WEST 2ND CT,,,HIALEAH,FL,UNITED STATES,33014,7864438183,,"CORDERO, MARTIN",,,MARTIN CORDERO,7864438183,martinc@lanesaero.com,,Limited,,SpecializedService,Limited,,,EASA,3/9/2026,
LANMAR AVIATION INC DBA JT AVIATION MX INC,L4AR,"DBA JT AVIATION MX, INC.",L4AR428X,147 TOWER AVENUE,,,GROTON,CT,UNITED STATES,06340,8604468621,jtaviationmx@gmail.com,"WTULICH, THOMAS R.",8603265658,,"WTULICH, THOMAS",8603265658,jtaviationmx@gmail.com,Limited,"Class 3, Limited",,,Limited,,,,3/9/2026,jtaviationmx@gmail.com
LAPEER AVIATION INC,L9PR,,L9PR971N,G-3101 W. BRISTOL ROAD,,,FLINT,MI,UNITED STATES,48507,,jmiller@azlon.com,"JONATZKE, MATTHEW",8106646966,matt@lapeeraviation.com,"JONATZKE, MATTHEW",8106646966,matt@lapeeraviation.com,,"Class 1, Class 3",Limited,,Limited,Limited,Limited,,3/9/2026,jmiller@azlon.com
LARRY'S TRIM SHOP INC,QLTR,,QLTR298K,8055  103RD STREET,,,JACKSONVILLE,FL,UNITED STATES,32210,,,"HARRELL, DAVID",,,ABOVE,9047719255,,,Limited,,,,,,,3/9/2026,
LASAR INC,61SR,"DBA LAKE AERO STYLING
   STYLING & REPAIR",61SR208D,4439 AIRPORT WAY,,,PRINEVILLE,OR,UNITED STATES,97756,,,"SMOKER, JOHN",,,JOHN SMOKER,8694610758,,,Limited,Limited,SpecializedService,Limited,,Limited,,3/9/2026,
LATAM AIRLINES GROUP S.A.,LANY,,LANY474J,CESAR LAVIN TORO 2198,AEROPUERTO INTERNACIONAL ARTURO MER,,SANTIAGO,,CHILE,,,,"AGUIRRE, JAIME",,,,,,Limited,Limited,Limited,"Equipment, NonDestructiveTst",Limited,,Limited,,3/9/2026,
LATAM AIRLINES GROUP S.A. SUCURSAL ESPANA,LTMY,,LTMY208E,AEROPUERTO ADOLFO SUÁREZ MADRID-BAR,"TERMINAL DE CARGA, ZONA DE MÓDULOS,",,MADRID,,SPAIN,28042,,,"MOLINA, JULIO G.",,,ALCOCEBA IGNACIO,,ignacio.alcoceba@latam.com,,Limited,,,,,,,3/9/2026,
LATAM AIRLINES PERU S.A,L2UY,"DBA LATAM AIRLINES PERU
   PERU REPAIR STATION",L2UY870F,JORGE CHAVEZ INTERNATIONAL AIRPORT,AV. ELMER FAUCETT S/N NORTH RAMP,,LIMA,,PERU,07031,0115112078440,,"LUCONI, ESTEBAN",,,"ENRICO, CESAR",,cesar.enrico@latam.com,Limited,Limited,Limited,"Equipment, NonDestructiveTst",Limited,,Limited,,3/9/2026,
LATECOERE,LC9Y,,LC9Y658J,135 RUE DE PERIOLE,,,TOULOUSE,,FRANCE,31500,33567734313,greg.huttner@latecoere.aero,"HOUDET, CECILE",+33635144229,cecile.houdet@latecoere.aero,,,,,Limited,,,,,Limited,,3/9/2026,greg.huttner@latecoere.aero
LATECOERE INTERCONNECTION SYSTEMS US INC,1ASR,,1ASR959Y,4410 WEST CERRITOS AVENUE,SUITE B,,LOS ALAMITOS,CA,UNITED STATES,90720,3604728944,,,,,,,,Limited,,,,,,,EASA,3/9/2026,
LATITUDE 33 AVIATION LLC,LATR,,LATR961D,2036 PALOMAR AIRPORT ROAD,,,CARLSBAD,CA,UNITED STATES,92011,,,"LOGUE, JAMES",7603853610,,JAMES LOGUE,7603853610,jlogue@l33jets.com,Limited,Limited,,,Limited,,,,3/9/2026,
"LATITUDE AERO, LLC",1D3R,,1D3R892C,237-A BURGESS ROAD,,,GREENSBORO,NC,UNITED STATES,27409,8888822929,barry@latitude-aero.com,"COOK, BARRY",3366763183,barry@latitude-aero.com,,,,Limited,,,,,,,EASA,3/9/2026,barry@latitude-aero.com
"LAUNCH TECHNICAL WORKFORCE SOLUTIONS, LLC",8LWR,,8LWR091D,4174 SOUTH OLIVER STREET,BUILDING 108C,,WICHITA,KS,UNITED STATES,67210,8139511832,,"NOGUEIRA, MARCO",,marconogueira@launchtws.com,,,,,Limited,Limited,,,,Limited,EASA,3/9/2026,
LAUREL AVIONICS COMPANY INC,QILR,,QILR881L,222 FOX RUN RD,HANGAR 14,,JOHNSTOWN,PA,UNITED STATES,15904,,,"TURNBULL, THOMAS I.",8142433985,irving.turnbull@usarmy.mil,"TURNBULL, THOMAS I.",8144438100 EXT. 8349,laurelavionics@gmail.com,Limited,Limited,Limited,,Limited,,Limited,,3/9/2026,
"LAUREL HIGHLANDS JET CENTER, LLC",GY1R,"DBA LAUREL HIGHLAND JET
   JET CENTER",GY1R183K,"148 AVIATION LANE, SUITE 109",ARNOLD PALMER REGIONAL AIRPORT,,LATROBE,PA,UNITED STATES,15650,,,"CRUMMER, KURT",,,KURT KRUMMER,7245394533,maintenance@veeneal.com,,Limited,Limited,,Limited,,Limited,,3/9/2026,
LAUREL TECHNOLOGIES PARTNERSHIP,JSTR,,JSTR509E,246 AIRPORT ROAD,,,JOHNSTOWN,PA,UNITED STATES,15904,8145348715,,"SMITHBOWER, KENNETH",,,KENNETH SMITHBOWER,8145342040,kenneth.smithbower@drs.com,Limited,Limited,,,,,,,3/9/2026,
LCI,OXOR,DBA NONE,OXOR834X,6236 HIATUS ROAD,,,TAMARAC,FL,UNITED STATES,33321,9547225500,,"LARSON, PETER G",9547225500,plarson@lci.aero,LAWRENCE NEUMAN,9547225500,lneumann@lci.aero,Limited,Limited,,,Limited,,,"EASA, United Kingdom",3/9/2026,
LEA INC,LE6R,DBA LEADING EDGE AVIATION,LE6R154J,2186 PALOMAR AIRPORT ROAD,,,CARLSBAD,CA,UNITED STATES,92011,7609318565,leadingedgeaviation@yahoo.com,"PUCCIO, VINCENT",7609318565,leadingedgeaviation@yahoo.com,VINNY PUCCIO,7609318565,midnightc5@gmail.com,Limited,"Class 3, Limited",,,Limited,,,,3/9/2026,leadingedgeaviation@yahoo.com
LEACH INTERNATIONAL  CORPORATION,FJ3D,,FJ3D503L,6900 ORANGETHORPE AVE.,,,BUENA PARK,CA,UNITED STATES,90620,7147367518,pinderjeet.sharma@leachcorp.com,"CRUZ, JOSEPH",7147367376,joe.cruz@leachcorp.com,,,,Limited,,Limited,,,,,"EASA, United Kingdom",3/9/2026,pinderjeet.sharma@leachcorp.com
LEACH INTERNATIONAL EUROPE S.A.S.,L6IY,,L6IY391X,14 RUE SAINTE CLAIRE DEVILLE,ZI SAINT LIGUAIRE,,NIORT,,FRANCE,79000,33549790844,philip.saunders@leachint.com,"CAUGANT, ALEN",+33 3 87979897,alan.caugant@leachint.com,,,,Limited,,Limited,,,,,,3/9/2026,philip.saunders@leachint.com
